Category,Year,Percent_Change,Event_Type
Farm-level eggs,2022,163.1,Spike
Farm-level eggs,2007,61.2,Spike
Wholesale fats and oils,1974,59.4,Spike
Farm-level vegetables,2022,51.4,Spike
Farm-level milk,2007,48.2,Spike
Farm-level soybeans,2008,47.9,Spike
Farm-level soybeans,2021,47.2,Spike
Farm-level wheat,2007,47.2,Spike
Farm-level wheat,2021,44.5,Spike
Farm-level eggs,2024,43.1,Spike
Farm-level eggs,2016,-59.1,Crash
Farm-level wheat,2009,-36.5,Crash
Farm-level fruit,1992,-35.3,Crash
Farm-level eggs,2019,-34.0,Crash
Farm-level milk,2009,-30.1,Crash
Farm-level milk,2015,-28.7,Crash
Farm-level eggs,2023,-28.3,Crash
Farm-level eggs,2005,-26.5,Crash
Farm-level eggs,2009,-26.4,Crash
Farm-level soybeans,2015,-24.7,Crash
