Category,Avg_Inflation,Volatility,Max_Spike,Max_Drop,Years_Tracked
Farm-level eggs,6.53,31.17,163.1,-59.1,49
Farm-level wheat,2.98,19.42,47.2,-36.5,51
Farm-level soybeans,2.32,17.73,47.9,-24.7,51
Wholesale fats and oils,4.13,16.89,59.4,-23.3,51
Farm-level milk,3.48,15.1,48.2,-30.1,51
Farm-level vegetables,3.45,12.09,51.4,-19.8,51
Wholesale wheat flour,3.0,12.07,34.4,-23.7,51
Wholesale pork,2.65,11.29,32.4,-23.6,51
Farm-level cattle,3.25,10.92,32.4,-19.4,51
Unprocessed foodstuffs and feedstuffs,2.62,9.72,26.7,-17.7,51
Farm-level fruit,2.62,9.42,24.7,-35.3,51
Wholesale beef,3.41,9.17,28.3,-16.7,51
Wholesale poultry,1.43,7.64,20.4,-18.0,51
Wholesale dairy,3.2,6.66,19.1,-14.0,51
Processed foods and feeds,2.67,6.58,18.9,-8.6,51
Finished consumer foods,3.21,3.55,14.2,-2.4,51
